"","Country","City","Settlement","KYC_Year","KYC_Pop","gpw15","gpw20","ghs15","ghs20","hrsl15","hrsl20","wp_u15","wp_u20","wp_c20","wp_pb20","lsg15","lsg20","lshd20","grid16","grid19","area_m2","area_100m","area_km2","Id","gpw_combo","ghs_combo","hrsl_combo","wp_u_combo","wp_c_combo","wp_pb_combo","lsg_combo","lshd_combo","grid_combo","dens_kyc","dens_gpw","dens_ghs","dens_hrsl","dens_wp_u","dens_wp_c","dens_wp_pb","dens_lsg","dens_lshd","dens_grid"
"11","Nigeria","Lagos","Ebutte Ilaje",2016,7576,1372.63635253906,1556.29736328125,800.242126464844,905.237915039062,NA,1228.44287109375,911.622985839844,1100.15698242188,1509.95788574219,780.057006835938,NA,5707.8955078125,1137.18090820312,NA,1019.45007324219,97992.185094764,9.7992185094764,0.097992185094764,11,1372.63635253906,800.242126464844,1228.44287109375,911.622985839844,1509.95788574219,780.057006835938,5707.8955078125,1137.18090820312,1019.45007324219,773.122876347086,140.076104151739,81.663872041527,125.36131018058,93.0301722487618,154.089622992076,79.604001694786,582.484766748761,116.048122317449,104.033813743037
"12","Nigeria","Lagos","Agboyi 1 / Agboyi Town",2016,2160,5356.109375,6072.76611328125,3773.048828125,4065.56909179688,NA,8928.294921875,2403.31665039062,2579.02856445312,10449.1474609375,2683.60961914062,NA,1574.42761230469,4455.7255859375,NA,2968.97241210938,382502.716295794,38.2502716295794,0.382502716295794,12,5356.109375,3773.048828125,8928.294921875,2403.31665039062,10449.1474609375,2683.60961914062,1574.42761230469,4455.7255859375,2968.97241210938,56.4701872163869,140.028008869303,98.64109893555,233.417817482129,62.8313616610271,273.178385819803,70.159230374337,41.161213900692,116.488730566081,77.6196425704186
"13","Nigeria","Lagos","Agbajowo",2016,2220,1072.20336914062,1215.66577148438,973.995849609375,1047.30993652344,NA,973.588562011719,826.035827636719,913.893798828125,1084.11560058594,894.667846679688,NA,3992.82177734375,1530.46325683594,NA,1314.1298828125,75410.0627161618,7.54100627161618,0.0754100627161618,13,1072.20336914062,973.995849609375,973.588562011719,826.035827636719,1084.11560058594,894.667846679688,3992.82177734375,1530.46325683594,1314.1298828125,294.390419532725,142.183062912482,129.159930986323,129.105921271573,109.539204435602,143.762723638949,118.640379606519,529.481296464697,202.952126242952,174.264525910659
"14","Nigeria","Lagos","Itowolo",2016,2660,2353.5283203125,2668.43432617188,192.14697265625,222.8447265625,NA,2674.79614257812,1188.52465820312,1401.44567871094,2638.21069335938,381.672149658203,NA,224.342010498047,398.604949951172,NA,466.528961181641,250462.789394025,25.0462789394025,0.250462789394025,14,2353.5283203125,192.14697265625,2674.79614257812,1188.52465820312,2638.21069335938,381.672149658203,224.342010498047,398.604949951172,466.528961181641,106.203400770057,93.9671847465517,7.67167742246801,106.794152897905,47.4531430827976,105.333438940863,15.2386767943306,8.95709941747534,15.9147373115011,18.6266775320346
"15","Nigeria","Lagos","Idi-Iroko",2016,9380,1114.8125,1263.97619628906,2255.50244140625,2305.09912109375,NA,1787.78979492188,2482.283203125,2844.2119140625,3863.30493164062,5417.3173828125,NA,6785.07275390625,5212.328125,NA,5746.7265625,498470.063056115,49.8470063056115,0.498470063056115,15,1114.8125,2255.50244140625,1787.78979492188,2482.283203125,3863.30493164062,5417.3173828125,6785.07275390625,5212.328125,5746.7265625,188.17579419898,22.3646831098561,45.2485035425756,35.8655399275325,49.7980397840975,77.503248800033,108.678891358068,136.117958866116,104.566522872874,115.287295836121
"16","Nigeria","Lagos","Daramola Abete",2015,1184,299.746643066406,339.853240966797,412.433166503906,446.650848388672,NA,408.504302978516,410.195709228516,463.910003662109,410.268188476562,309.497131347656,NA,2249.29248046875,500.598663330078,NA,292.029754638672,28780.9124564193,2.87809124564193,0.0287809124564193,16,299.746643066406,412.433166503906,408.504302978516,410.195709228516,410.268188476562,309.497131347656,2249.29248046875,500.598663330078,292.029754638672,411.383760606214,104.147720653502,143.300934995866,141.935841539799,142.523524870743,142.548707966712,107.535552188036,781.522296721717,173.934257327003,101.466468473114
"17","Nigeria","Lagos","Irede",2015,2000,1694.08276367188,1920.75366210938,653.398071289062,896.512329101562,NA,2332.02026367188,625.959594726562,670.681274414062,2128.76708984375,1412.63098144531,NA,445.194976806641,807.580749511719,NA,1605.62841796875,165709.553715721,16.5709553715721,0.165709553715721,17,1694.08276367188,653.398071289062,2332.02026367188,625.959594726562,2128.76708984375,1412.63098144531,445.194976806641,807.580749511719,1605.62841796875,120.693101583694,102.232051543517,39.4303198963401,140.729379289291,37.7745024768103,128.463751311268,85.2474072719259,26.865981280137,48.7347127189266,96.8941368777837
"18","Nigeria","Lagos","Akponawa",2015,1209,986.696655273438,1118.71826171875,292.552459716797,318.275177001953,NA,1080.42944335938,370.022033691406,392.739685058594,1026.32983398438,751.26416015625,NA,463.478424072266,538.859741210938,NA,865.510437011719,96508.9725416452,9.65089725416452,0.0965089725416452,18,986.696655273438,292.552459716797,1080.42944335938,370.022033691406,1026.32983398438,751.26416015625,463.478424072266,538.859741210938,865.510437011719,125.273326216202,102.238851921013,30.313498528912,111.951191159263,38.3406872901621,106.345535234198,77.8439703968527,48.0243869420812,55.8351961501207,89.6818621334132
"19","Nigeria","Lagos","Abete Ojora",2015,5760,340.434692382812,385.985443115234,613.432983398438,664.326721191406,NA,464.451690673828,395.115051269531,458.681732177734,387.354797363281,336.245819091797,NA,2458.21533203125,692.634948730469,NA,344.052795410156,32711.6371113062,3.27116371113062,0.0327116371113062,19,340.434692382812,613.432983398438,464.451690673828,395.115051269531,387.354797363281,336.245819091797,2458.21533203125,692.634948730469,344.052795410156,1760.84125059249,104.071432201462,187.527448201734,141.983627751024,120.787305730097,118.414983647944,102.790886909044,751.480374909641,211.739616202538,105.177492107615
"20","Nigeria","Lagos","Itun Agan",2015,12465,2833.97192382812,3213.162109375,1977.552734375,2143.84912109375,NA,4046.07055664062,1076.01147460938,1176.87182617188,4618.3310546875,2577.8740234375,NA,1562.375,4133.92236328125,NA,2696.56860351562,298186.254145529,29.8186254145529,0.298186254145529,20,2833.97192382812,1977.552734375,4046.07055664062,1076.01147460938,4618.3310546875,2577.8740234375,1562.375,4133.92236328125,2696.56860351562,418.027317715206,95.0403274607359,66.3193794778301,135.689372007938,36.0852138437016,154.880749547682,86.45180613119,52.3959430818528,138.635577791044,90.4323578309406
